maxPopulationSize,mutationChance,iterationCount,amountOfFittestPopulationToKeep,bestGenotype,bestGenotypeScore,totalTime
10,0.005,50,0.4,214705362,163,72
10,0.005,50,0.4,241735062,183,14
10,0.005,50,0.4,260537142,186,8
10,0.005,50,0.4,275306142,148,63
10,0.005,50,0.4,214760532,175,10
10,0.005,50,0.4,271463502,152,5
10,0.005,50,0.4,260537142,186,5
10,0.005,50,0.4,241705362,163,14
10,0.005,50,0.4,273605142,136,3
10,0.005,50,0.4,243501762,146,33
10,0.005,50,0.4,241635072,151,2
10,0.005,50,0.4,260537412,186,51
10,0.005,50,0.4,260537412,186,4
10,0.005,50,0.4,271350642,160,10
10,0.005,50,0.4,276053412,177,3
10,0.005,50,0.4,270536412,153,14
10,0.005,50,0.4,246173502,140,3
10,0.005,50,0.4,270531462,158,7
10,0.005,50,0.4,264170532,154,4
10,0.005,50,0.4,264735012,144,3
10,0.005,50,0.4,205364172,154,17
10,0.005,50,0.4,241760532,175,3
10,0.005,50,0.4,205374162,160,14
10,0.005,50,0.4,274160532,168,9
10,0.005,50,0.4,265307142,148,4
10,0.005,50,0.4,276053142,180,26
10,0.005,50,0.4,235064172,165,3
10,0.005,50,0.4,240635712,131,2
10,0.005,50,0.4,260351742,142,16
10,0.005,50,0.4,241605372,173,2
10,0.005,50,0.4,260753142,148,3
10,0.005,50,0.4,215306472,136,2
10,0.005,50,0.4,205364172,154,10
10,0.005,50,0.4,210537642,142,5
10,0.005,50,0.4,217350642,161,20
10,0.005,50,0.4,214605372,173,9
10,0.005,50,0.4,274135062,183,2
10,0.005,50,0.4,261350472,143,2
10,0.005,50,0.4,276053142,180,2
10,0.005,50,0.4,260417352,143,9
10,0.005,50,0.4,235076142,148,2
10,0.005,50,0.4,274135062,183,3
10,0.005,50,0.4,260741352,147,7
10,0.005,50,0.4,264350712,145,2
10,0.005,50,0.4,260531472,186,1
10,0.005,50,0.4,205317642,147,3
10,0.005,50,0.4,273501462,152,6
10,0.005,50,0.4,247350612,161,2
10,0.005,50,0.4,256037412,129,2
10,0.005,50,0.4,214760532,175,2
50,0.005,50,0.4,276053142,180,20
50,0.005,50,0.4,274135062,183,88
50,0.005,50,0.4,260537412,186,36
50,0.005,50,0.4,260537142,186,48
50,0.005,50,0.4,273506142,171,14
50,0.005,50,0.4,214735062,184,18
50,0.005,50,0.4,260537142,186,65
50,0.005,50,0.4,260531472,186,31
50,0.005,50,0.4,260537142,186,15
50,0.005,50,0.4,260537412,186,9
50,0.005,50,0.4,263507412,161,30
50,0.005,50,0.4,260537142,186,64
50,0.005,50,0.4,214735062,184,20
50,0.005,50,0.4,260531472,186,16
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,241735062,183,18
50,0.005,50,0.4,214735062,184,15
